secid,date,ticker,low,high,open,close
108105,2018-11-13,SPX,2714.98,2754.6,2730.05,2722.18
108105,2018-11-14,SPX,2685.75,2746.8,2737.9,2701.58
108105,2018-11-15,SPX,2670.75,2735.38,2693.52,2730.2
108105,2018-11-16,SPX,2712.16,2746.75,2718.54,2736.27
108105,2018-11-19,SPX,2681.09,2733.16,2730.74,2690.73
108105,2018-11-20,SPX,2631.52,2669.44,2654.6,2641.89
108105,2018-11-21,SPX,2649.82,2670.73,2657.74,2649.93
108105,2018-11-23,SPX,2631.09,2647.55,2633.36,2632.56
108105,2018-11-26,SPX,2649.97,2674.35,2649.97,2673.45
108105,2018-11-27,SPX,2655.89,2682.53,2663.75,2682.17
108105,2018-11-28,SPX,2684.38,2744,2691.45,2743.79
108105,2018-11-29,SPX,2722.94,2753.75,2736.97,2737.76
108105,2018-11-30,SPX,2732.76,2760.88,2737.76,2760.17
108105,2018-12-03,SPX,2773.38,2800.18,2790.5,2790.37
108105,2018-12-04,SPX,2697.18,2785.93,2782.43,2700.06
108105,2018-12-06,SPX,2621.53,2696.15,2663.51,2695.95
108105,2018-12-07,SPX,2623.14,2708.54,2691.26,2633.08
108105,2018-12-10,SPX,2583.23,2647.51,2630.86,2637.72
108105,2018-12-11,SPX,2621.3,2674.35,2664.44,2636.78
108105,2018-12-12,SPX,2650.26,2685.44,2658.23,2651.07
108105,2018-12-13,SPX,2637.27,2670.19,2658.7,2650.54
108105,2018-12-14,SPX,2593.84,2635.07,2629.68,2599.95
108105,2018-12-17,SPX,2530.54,2601.13,2590.75,2545.94
108105,2018-12-18,SPX,2528.71,2573.99,2559.9,2546.16
108105,2018-12-19,SPX,2488.96,2585.29,2547.05,2506.96
108105,2018-12-20,SPX,2441.18,2509.63,2496.77,2467.42
108105,2018-12-21,SPX,2408.55,2504.41,2465.38,2416.62
108105,2018-12-24,SPX,2351.1,2410.34,2400.56,2351.1
108105,2018-12-26,SPX,2346.58,2467.76,2363.12,2467.7
108105,2018-12-27,SPX,2397.94,2489.1,2442.5,2488.83
108105,2018-12-28,SPX,2472.89,2520.27,2498.77,2485.74
108105,2018-12-31,SPX,2482.82,2509.24,2498.94,2506.85
108105,2019-01-02,SPX,2467.47,2519.49,2476.96,2510.03
108105,2019-01-03,SPX,2443.96,2493.14,2491.92,2447.89
108105,2019-01-04,SPX,2474.33,2538.07,2474.33,2531.94
108105,2019-01-07,SPX,2524.56,2566.16,2535.61,2549.69
108105,2019-01-08,SPX,2547.56,2579.82,2568.11,2574.41
108105,2019-01-09,SPX,2568.89,2595.32,2580,2584.96
108105,2019-01-10,SPX,2562.02,2597.82,2573.51,2596.64
108105,2019-01-11,SPX,2577.4,2596.27,2588.11,2596.26
108105,2019-01-14,SPX,2570.41,2589.32,2580.31,2582.61
108105,2019-01-15,SPX,2585.1,2613.08,2585.1,2610.3
108105,2019-01-16,SPX,2612.68,2625.76,2614.75,2616.1
108105,2019-01-17,SPX,2606.36,2645.06,2609.28,2635.96
108105,2019-01-18,SPX,2647.58,2675.47,2651.27,2670.71
108105,2019-01-22,SPX,2617.27,2657.88,2657.88,2632.9
108105,2019-01-23,SPX,2612.86,2653.19,2643.48,2638.7
108105,2019-01-24,SPX,2627.01,2647.2,2638.84,2642.33
108105,2019-01-25,SPX,2657.33,2672.38,2657.44,2664.76
108105,2019-01-28,SPX,2624.06,2644.97,2644.97,2643.85
108105,2019-01-29,SPX,2631.05,2650.93,2644.89,2640
108105,2019-01-30,SPX,2648.34,2690.44,2653.62,2681.05
108105,2019-01-31,SPX,2678.65,2708.95,2685.49,2704.1
108105,2019-02-01,SPX,2696.88,2716.66,2702.32,2706.53
108105,2019-02-04,SPX,2698.75,2724.99,2706.49,2724.87
108105,2019-02-05,SPX,2724.03,2738.98,2728.34,2737.7
108105,2019-02-06,SPX,2724.15,2738.08,2735.05,2731.61
108105,2019-02-07,SPX,2687.26,2719.32,2717.53,2706.05
108105,2019-02-08,SPX,2681.83,2708.07,2692.36,2707.88
108105,2019-02-11,SPX,2703.79,2718.05,2712.4,2709.8
108105,2019-02-12,SPX,2722.61,2748.19,2722.61,2744.73
108105,2019-02-13,SPX,2748.63,2761.85,2750.3,2753.03
108105,2019-02-14,SPX,2731.23,2757.9,2743.5,2745.73
108105,2019-02-15,SPX,2760.24,2775.66,2760.24,2775.6
108105,2019-02-19,SPX,2767.29,2787.33,2769.28,2779.76
108105,2019-02-20,SPX,2774.06,2789.88,2779.05,2784.7
108105,2019-02-21,SPX,2764.55,2781.58,2780.24,2774.88
108105,2019-02-22,SPX,2779.11,2794.2,2780.67,2792.67
108105,2019-02-25,SPX,2794.99,2813.49,2804.35,2796.11
108105,2019-02-26,SPX,2789.47,2803.12,2792.36,2793.9
108105,2019-02-27,SPX,2775.13,2795.76,2787.5,2792.38
108105,2019-02-28,SPX,2782.51,2793.73,2788.11,2784.49
108105,2019-03-01,SPX,2787.38,2808.02,2798.22,2803.69
108105,2019-03-04,SPX,2767.66,2816.88,2814.37,2792.81
108105,2019-03-05,SPX,2782.97,2796.44,2794.41,2789.65
108105,2019-03-06,SPX,2768.69,2790.27,2790.27,2771.45
108105,2019-03-07,SPX,2739.09,2767.25,2766.53,2748.93
108105,2019-03-08,SPX,2722.27,2744.13,2730.79,2743.07
108105,2019-03-11,SPX,2747.61,2784,2747.61,2783.3
108105,2019-03-12,SPX,2786.73,2798.32,2787.34,2791.52
108105,2019-03-13,SPX,2799.78,2821.24,2799.78,2810.92
108105,2019-03-14,SPX,2803.46,2815,2810.38,2808.48
108105,2019-03-15,SPX,2810.79,2830.73,2810.79,2822.48
108105,2019-03-18,SPX,2821.99,2835.41,2822.61,2832.94
108105,2019-03-19,SPX,2823.27,2852.42,2840.76,2832.57
108105,2019-03-20,SPX,2812.43,2843.54,2831.34,2824.23
108105,2019-03-21,SPX,2817.38,2860.31,2819.72,2854.88
108105,2019-03-22,SPX,2800.47,2846.16,2844.52,2800.71
108105,2019-03-25,SPX,2785.02,2809.79,2796.01,2798.36
108105,2019-03-26,SPX,2803.99,2829.87,2812.66,2818.46
108105,2019-03-27,SPX,2787.72,2825.56,2819.72,2805.37
108105,2019-03-28,SPX,2798.77,2819.71,2809.4,2815.44
108105,2019-03-29,SPX,2819.23,2836.03,2828.27,2834.4
108105,2019-04-01,SPX,2848.63,2869.4,2848.63,2867.19
108105,2019-04-02,SPX,2858.75,2872.9,2868.24,2867.24
108105,2019-04-03,SPX,2865.17,2885.25,2876.09,2873.4
108105,2019-04-04,SPX,2867.14,2881.28,2873.99,2879.39
108105,2019-04-05,SPX,2882.99,2893.24,2884.16,2892.74
108105,2019-04-08,SPX,2880.78,2895.95,2888.46,2895.77
108105,2019-04-09,SPX,2873.33,2886.88,2886.58,2878.2
108105,2019-04-10,SPX,2879.13,2889.71,2881.37,2888.21
108105,2019-04-11,SPX,2881.99,2893.42,2891.92,2888.32
108105,2019-04-12,SPX,2898.37,2910.54,2900.86,2907.41
108105,2019-04-15,SPX,2896.48,2909.6,2908.32,2905.58
108105,2019-04-16,SPX,2900.71,2916.06,2912.26,2907.06
108105,2019-04-17,SPX,2895.45,2918,2916.04,2900.45
108105,2019-04-18,SPX,2891.9,2908.4,2904.81,2905.03
108105,2019-04-22,SPX,2896.35,2909.51,2898.78,2907.97
108105,2019-04-23,SPX,2908.53,2936.31,2909.99,2933.68
108105,2019-04-24,SPX,2926.05,2936.83,2934,2927.25
108105,2019-04-25,SPX,2912.84,2933.1,2928.99,2926.17
108105,2019-04-26,SPX,2917.56,2939.88,2925.81,2939.88
108105,2019-04-29,SPX,2939.35,2949.52,2940.58,2943.03
108105,2019-04-30,SPX,2924.11,2948.22,2937.14,2945.83
108105,2019-05-01,SPX,2923.36,2954.13,2952.33,2923.73
108105,2019-05-02,SPX,2900.5,2931.68,2922.16,2917.52
108105,2019-05-03,SPX,2929.21,2947.85,2929.21,2945.64
108105,2019-05-06,SPX,2898.21,2937.32,2908.89,2932.47
108105,2019-05-07,SPX,2862.6,2913.03,2913.03,2884.05
108105,2019-05-08,SPX,2873.28,2897.96,2879.61,2879.42
108105,2019-05-09,SPX,2836.4,2875.97,2859.84,2870.72
108105,2019-05-10,SPX,2825.39,2891.31,2863.1,2881.4
108105,2019-05-13,SPX,2801.43,2840.19,2840.19,2811.87
108105,2019-05-14,SPX,2820.12,2852.54,2820.12,2834.41
108105,2019-05-15,SPX,2815.08,2858.68,2820.38,2850.96
108105,2019-05-16,SPX,2855.8,2892.15,2855.8,2876.32
108105,2019-05-17,SPX,2854.23,2885.48,2858.6,2859.53
108105,2019-05-20,SPX,2831.29,2853.86,2841.94,2840.23
108105,2019-05-21,SPX,2854.02,2868.88,2854.02,2864.36
108105,2019-05-22,SPX,2851.11,2865.47,2856.06,2856.27
108105,2019-05-23,SPX,2805.49,2836.7,2836.7,2822.24
108105,2019-05-24,SPX,2820.19,2841.36,2832.41,2826.06
108105,2019-05-28,SPX,2801.58,2840.51,2830.03,2802.39
108105,2019-05-29,SPX,2766.06,2792.03,2790.25,2783.02
108105,2019-05-30,SPX,2776.74,2799,2786.94,2788.86
108105,2019-05-31,SPX,2750.52,2768.98,2766.15,2752.06
108105,2019-06-03,SPX,2728.81,2763.07,2751.53,2744.45
108105,2019-06-04,SPX,2762.64,2804.49,2762.64,2803.27
108105,2019-06-05,SPX,2800.92,2827.28,2818.09,2826.15
108105,2019-06-06,SPX,2822.45,2852.1,2828.51,2843.49
108105,2019-06-07,SPX,2852.87,2884.97,2852.87,2873.34
108105,2019-06-10,SPX,2885.51,2904.77,2885.83,2886.73
108105,2019-06-11,SPX,2878.53,2910.61,2903.27,2885.72
108105,2019-06-12,SPX,2874.68,2888.57,2882.73,2879.84
